,year,MUGU,KALIKOT,JUMLA,HUMLA
20,1970,5.831916419336987,14.990189255065754,8.980235766974246,1.084732801690959
21,1971,5.193376253879452,14.492253862369864,8.59168861199452,0.530578320430137
22,1972,4.450546451060109,15.074957371775955,8.230112196978142,-0.4767616816967213
23,1973,4.551155801289589,14.581279611733699,8.142896717436987,0.18846717315972603
24,1974,5.18326464639178,14.725865061950683,8.455673296964383,0.4545933343863014
25,1975,4.650692220139726,14.46418477181096,8.095743949356164,-0.2641606631013698
26,1976,5.808978146197541,14.877653672062841,8.964684213818579,1.083273485026776
27,1977,5.6562452973835615,14.79694881248767,8.895858166578082,0.7887920754575343
28,1978,4.933936128728767,14.370632658027397,8.184619568186301,0.343818109690411
29,1979,5.1410585082,14.699119466818356,8.428840090197808,0.3014739382906849
30,1980,5.215967939571038,14.550616591275954,8.389608897060109,0.634786863215847
31,1981,4.466222822306849,13.987126434158904,7.76470914190411,-0.35067614993972596
32,1982,4.331563734863013,13.883218258632876,7.659604172210959,-0.5675153340465754
33,1983,3.9270037304657532,13.89553412814,7.451482026368493,-0.8465636208553424
34,1984,5.498406235825136,14.99081068668306,8.87863021780601,0.8786750209672132
35,1985,4.921112872978082,14.95182226309315,8.515709151482191,0.05430809133150685
36,1986,4.2726820524,14.152681559142465,7.725197652682192,-0.5306179621917808
37,1987,5.405050236808219,15.518695347361643,8.940066769169862,0.4980096497205479
38,1988,5.92624773684153,15.344917764191257,9.181239261907104,1.3674082169453552
39,1989,4.636851247126027,14.41039703879178,7.963543618756165,-0.2053744675260274
40,1990,5.452279167336986,14.681750035865754,8.684115844449314,0.7512153890219178
41,1991,4.932370721841096,14.39719283198082,8.189639063265753,0.2644911238630137
42,1992,4.620805167904371,14.242061211565572,7.923474469071038,0.057428745147540955
43,1993,5.6454374571013695,14.4903994062137,8.759913702386301,1.111794584460274
44,1994,5.196359007670411,14.441867292716164,8.361452282726576,0.6189451423435617
45,1995,4.581457728446575,14.317513314438358,7.985424576287672,-0.2073645591534246
46,1996,4.623029539429782,14.629446051428962,8.278205391780055,-0.035776030452732255
47,1997,3.5597251501068494,13.178644632435615,6.909893881893151,-1.0656897179534246
48,1998,5.725603962164384,15.001022033095891,8.985976209835616,0.9043637515890411
49,1999,6.461558838830137,15.684414575043835,9.710883714158904,1.427095011331507
50,2000,5.177516263636612,14.334537281948087,8.450299541759563,0.594832105568306
51,2001,5.801841170980821,15.00333701530685,8.984715038238356,1.0818802328876713
52,2002,5.085387451772602,14.562283564575342,8.341727894224658,0.45165156078082197
53,2003,5.376423006684932,14.985484831715068,8.752412244657535,0.5356589622082192
54,2004,5.729903973038252,15.247160752467213,9.087105865459016,0.9726240082595629
55,2005,4.759397257287671,14.509192467224658,8.081711981723288,0.08514627206301369
56,2006,6.159399354863014,15.706701767561643,9.516789429375342,1.1939590466
57,2007,6.008045769238357,15.190875345641096,9.323344523936985,1.0691500034630137
58,2008,5.597314145283334,15.029412668649455,8.867190152630053,0.6816403632953552
59,2009,6.165928278421095,16.15779130912767,9.76547674372274,0.7429998864405479
60,2010,6.667409460013698,16.229429230347943,9.989165111572602,1.700013181739726
61,2011,5.542582570643836,14.88973507468767,8.894494423832876,0.9181939703452054
62,2012,4.552416115030055,14.546187784460109,7.995387327785519,-0.17971660161338798
63,2013,5.4061531662109585,14.835861417767124,8.705898043046576,0.6956826398575343
64,2014,4.81447259032411,14.939009888326849,8.459292707043563,-0.05184055907561641
65,2015,5.250256493436439,14.757163288824385,8.529467926217261,0.5242336473953425
66,2016,7.03978152638989,16.02148364568142,10.177393850262021,2.48695309339235
67,2017,5.906601868871233,15.40142659279452,9.268414327734247,1.0578057891150685
68,2018,6.188177104794521,15.36915362450137,9.397096131265753,1.1814323560986302
69,2019,4.642529958871233,14.428088876717808,8.059959418967123,-0.13660769761095892
70,2020,4.974600387232241,14.625425560685791,8.279697988617485,0.35050776513934434
71,2021,5.672165996978082,15.392808301986301,9.158202598545206,0.6353867328164383
72,2022,6.003551702876712,15.387817984476712,9.10426229530137,1.1979528435424658
73,2023,5.915918887230137,15.266606653210959,8.963790206980823,0.7967712006463836
